schema_version,role_id,organization_id,team_id,product_id,title,role_family,job_locations,remote_scope,agent_specific_quote,agent_relevance_summary,agent_relevance_evidence_type,official_role_url,first_seen_at,last_seen_at,last_verified_at,currentness_status,access_requirement,evidence_grade,supersedes_role_id,evidence_ids,version,display_title_zh,display_title_en,display_location_zh,display_location_en,location_data_status,work_arrangement,work_arrangement_basis,official_title_raw,title_source_language,title_support_status,title_provenance,title_source_url,title_source_granularity,stable_role_locator,citation_supports_title,title_source_observed_at,title_source_recheck_performed,title_source_observation_status,title_current_eligible_after_gate,title_translation_status,role_recovery_status,role_recovery_confidence,eligible_for_job_list,eligible_for_strict_current,role_display_version,title_authenticity_version,public_confidence_tier,recovery_origin,source_role_descriptor,title_source_recheck_attempted_at,geography
agent-hiring-map-public/1.0,ROLE-000AFADBAE7AA4ED,ORG-E7639E102CC2D870,TEAM-7944C411BD3B25B6,PROD-22C93C017D1B425B,Founding Product Designer,agent_role_recovered_from_official_title,[],null,null,"Lightsprint is an active three-person San Francisco team planning, previewing and shipping product work with parallel cloud Agents, human approvals, preview environments and collaborative product workflows.",frozen_exact_official_c4_role_signal,https://www.ycombinator.com/companies/lightsprint/jobs/V0X6vAr-founding-product-designer,2026-07-19,2026-07-19,2026-07-19,current_probable,public_no_login,A,null,"[""AMC-7102""]",1,创始 产品设计师,Founding Product Designer,地点待复核,Location pending review,pending_review,onsite,default_onsite_no_remote_signal,Founding Product Designer,en,verified_official_title,public_ats_structured_field,https://www.ycombinator.com/companies/lightsprint/jobs/V0X6vAr-founding-product-designer,direct_role_detail,V0X6vAr-founding-product-designer,true,2026-07-19,true,fetched_success,false,deterministic_bilingual_translation_v1,probable_job,0.94,true,false,agent-hiring-map-role-display/1.0,agent-hiring-map-title-authenticity/1.0,probable,unlinked_evidence_recovered,null,null,null
agent-hiring-map-public/1.0,ROLE-006E50949856FA4E,ORG-5B1A32F8BCDDE23E,TEAM-CC9190ECE11B44F3,PROD-CC9190ECE11B44F3,"Senior Product Designer, AI Creative Tools",agent_role_recovered_from_official_title,"[""United States""]",remote,null,"We're building AI agents that make real-time, data-driven decisions across entire customer journeys.",official_exact_role_alignment,https://job-boards.greenhouse.io/hightouch/jobs/6103070004,2026-07-24,2026-07-24,2026-07-24,current_verified,public_no_login,A,null,"[""AMC-5552""]",1,高级 产品设计师，AI 创意 工具,"Senior Product Designer, AI Creative Tools",美国,United States,normalized_or_descriptive,remote_or_hybrid,explicit_remote_or_hybrid,"Senior Product Designer, AI Creative Tools",en,verified_official_title,public_ats_structured_field,https://job-boards.greenhouse.io/hightouch/jobs/6103070004,direct_role_detail,6103070004,true,2026-07-24,true,fetched_success,true,deterministic_bilingual_translation_v1,verified_job,0.97,true,true,agent-hiring-map-role-display/1.0,agent-hiring-map-title-authenticity/1.0,verified,global_deferred_evidence_recovered,null,null,Other/Global
agent-hiring-map-public/1.0,ROLE-00D7063E3A5F70B9,ORG-D39D6D12D2E27C23,TEAM-D2DF1FA39240A80F,PROD-3090C6E462111C5B,"Founding Engineer, Infrastructure / Backend",agent_role_recovered_from_official_title,[],null,null,Spur's current founding infra/backend engineer builds and scales cloud infrastructure that runs thousands of browser and web Agents for natural-language end-to-end testing.,frozen_exact_official_c4_role_signal,https://www.ycombinator.com/companies/spur/jobs/cQGJFb3-founding-engineer-infra-backend-spur,2026-07-18,2026-07-18,2026-07-18,current_probable,public_no_login,A,null,"[""AMC-7046""]",1,创始 工程师，基础设施 / Backend,"Founding Engineer, Infrastructure / Backend",地点待复核,Location pending review,pending_review,onsite,default_onsite_no_remote_signal,"Founding Engineer, Infrastructure / Backend",en,verified_official_title,public_ats_structured_field,https://www.ycombinator.com/companies/spur/jobs/cQGJFb3-founding-engineer-infra-backend-spur,direct_role_detail,cQGJFb3-founding-engineer-infra-backend-spur,true,2026-07-18,true,fetched_success,false,deterministic_bilingual_translation_v1,probable_job,0.94,true,false,agent-hiring-map-role-display/1.0,agent-hiring-map-title-authenticity/1.0,probable,unlinked_evidence_recovered,null,null,null
agent-hiring-map-public/1.0,ROLE-00DADD1775ED37F4,ORG-FA7628FF5A312527,TEAM-976969B90BB52840,PROD-976969B90BB52840,Forward Deployed Engineer,agent_role_recovered_from_official_title,[],remote,null,Official current role hires Forward Deployed Engineer - production underwriting Agents to make AI underwriting Agents deliver in production for customers.,official_exact_role_alignment,https://job-boards.greenhouse.io/sixfold/jobs/5234031008,2026-07-24,2026-07-24,2026-07-24,current_verified,public_no_login,A,null,"[""AMC-1814""]",1,前线部署工程师,Forward Deployed Engineer,地点待复核,Location pending review,pending_review,remote_or_hybrid,explicit_remote_or_hybrid,Forward Deployed Engineer,en,verified_official_title,public_ats_structured_field,https://job-boards.greenhouse.io/sixfold/jobs/5234031008,direct_role_detail,5234031008,true,2026-07-24,true,fetched_success,true,deterministic_bilingual_translation_v1,verified_job,0.97,true,true,agent-hiring-map-role-display/1.0,agent-hiring-map-title-authenticity/1.0,verified,global_deferred_evidence_recovered,null,null,Unknown
agent-hiring-map-public/1.0,ROLE-013B655343DC7325,ORG-4534C05BE9CFDFD9,TEAM-0804BBE9293B487E,PROD-029535A5482D5627,AI产品研发架构师,ai_product_r_and_d_architect_agent_product_multimodal_rag_and_evaluation,[],null,负责AI智能体产品的整体规划、功能设计和迭代路线图，确保产品技术方案与业务目标紧密对齐。,null,null,https://www.info2soft.cn/joinus/social-recruitment/ai-product-rd-architect,2026-07-16,2026-07-16,2026-07-24,current_probable,public_no_login,A,null,"[""AMC-6632""]",1,AI产品研发架构师,AI Product Research and Development Architect,地点待复核,Location pending review,pending_review,onsite,default_onsite_no_remote_signal,AI产品研发架构师,zh,verified_official_title,frozen_official_role_body_or_exact_page,https://www.info2soft.cn/joinus/social-recruitment/ai-product-rd-architect,direct_role_detail,url-626e466e6b53d0c4cc11,true,2026-07-24,true,fetched_success,true,deterministic_bilingual_translation_v1,verified_job,0.97,true,true,agent-hiring-map-role-display/1.0,agent-hiring-map-title-authenticity/1.0,verified,existing_role_revalidated,"vertical AI Agent product architecture with multimodal models, RAG and evaluation",2026-07-24,null
agent-hiring-map-public/1.0,ROLE-016208FFD04ACD26,ORG-400030C8E01D28BE,TEAM-36E785B0AD7FBCFE,PROD-36E785B0AD7FBCFE,Senior Lead Application Security Engineer,agent_role_recovered_from_official_title,"[""Vancouver, British Columbia, Canada""]",hybrid,null,"Agentic and AI security: securing LLM- and agent-based systems (prompt injection, tool/MCP security, sandboxing, guardrails), plus building autonomous agents that perform security work.",official_exact_role_alignment,https://jobs.smartrecruiters.com/IFS1/744000134306281-senior-lead-application-security-engineer,2026-07-24,2026-07-24,2026-07-24,current_verified,public_no_login,A,null,"[""AMC-5274""]",1,高级 负责人 应用 安全工程师,Senior Lead Application Security Engineer,具体地点见官方来源,"Vancouver, British Columbia, Canada",normalized_or_descriptive,remote_or_hybrid,explicit_remote_or_hybrid,Senior Lead Application Security Engineer,en,verified_official_title,public_ats_structured_field,https://jobs.smartrecruiters.com/IFS1/744000134306281-senior-lead-application-security-engineer,direct_role_detail,744000134306281,true,2026-07-24,true,fetched_success,true,deterministic_bilingual_translation_v1,verified_job,0.97,true,true,agent-hiring-map-role-display/1.0,agent-hiring-map-title-authenticity/1.0,verified,global_deferred_evidence_recovered,null,null,Canada
agent-hiring-map-public/1.0,ROLE-01CEC468C6C9699A,ORG-FA34F08396C19F51,TEAM-5A05461C5A0B09D5,PROD-1339A91C5F4411AF,科研助理,research_assistant_self_evolving_scientific_agents,"[""Hangzhou; scientific research assistant""]",null,参与 “自演进AI智能体辅助纳米-生物互作科学发现与策略优化” 方向的科研工作，包括智能体构建、智能体自演近、多智能体协同等；,null,null,https://engineering.westlake.edu.cn/Recuitment/202509/t20250916_59065.shtml,2026-07-16,2026-07-16,2026-07-24,current_probable,public_no_login,A,null,"[""AMC-6525""]",1,科研助理,Research Assistant,杭州；科研助理,Hangzhou; scientific research assistant,normalized_or_descriptive,onsite,default_onsite_no_remote_signal,科研助理,zh,verified_official_title,frozen_official_role_body_or_exact_page,https://engineering.westlake.edu.cn/Recuitment/202509/t20250916_59065.shtml,direct_role_detail,202509,true,2026-07-24,true,fetched_success,true,deterministic_bilingual_translation_v1,verified_job,0.97,true,true,agent-hiring-map-role-display/1.0,agent-hiring-map-title-authenticity/1.0,verified,existing_role_revalidated,self-evolving AI Agent for scientific discovery,2026-07-24,null
agent-hiring-map-public/1.0,ROLE-01D7AC8ADDB4AE55,ORG-B7F8DFC2578DDA24,TEAM-10C405784F542C45,PROD-BBD32D314125FC3E,产品设计师,agent_product_design,[],null,设计 AI Agent 在任务理解、计划生成、工具调用、过程追踪、结果交付、异常处理和人工接管等关键环节中的交互体验,null,null,https://01ai.jobs.feishu.cn/index/position/7652612265690253609/detail,2026-07-09,2026-07-09,2026-07-24,current_probable,public_no_login,A,null,"[""AMC-1289""]",1,产品设计师,Product Designer,地点待复核,Location pending review,pending_review,onsite,default_onsite_no_remote_signal,产品设计师,zh,verified_official_title,public_source_observation,https://01ai.jobs.feishu.cn/index/position/7652612265690253609/detail,direct_role_detail,7652612265690253609,true,2026-07-24,true,fetched_success,false,deterministic_bilingual_translation_v1,probable_job,0.88,true,false,agent-hiring-map-role-display/1.0,agent-hiring-map-title-authenticity/1.0,probable,existing_role_revalidated,Agentic Decision AI Product Design,2026-07-24,null
agent-hiring-map-public/1.0,ROLE-0206707F0E607348,ORG-972026B21E7BF5A2,TEAM-7EEAE51EA52CADCB,PROD-7EEAE51EA52CADCB,Product Manager | Agentic CX,agent_role_recovered_from_official_title,"[""New York, NY HQ""]",hybrid,null,"prior strict role pool: 5 rows; representative role: AI Operations Specialist | Agentic Workflows; terms: agent, agentic, agents, ai agent, copilot, rag, workflow",official_exact_role_alignment,https://jobs.ashbyhq.com/ramp/a3afd259-ba6b-4eb0-a1b6-05d01dddacd8,2026-07-24,2026-07-24,2026-07-24,current_probable,public_no_login,A,null,"[""AMC-0177""]",1,产品经理 | 智能体 CX,Product Manager | Agentic CX,"纽约, 纽约州 HQ","New York, NY HQ",normalized_or_descriptive,remote_or_hybrid,explicit_remote_or_hybrid,Product Manager | Agentic CX,en,verified_official_title,public_ats_structured_field,https://jobs.ashbyhq.com/ramp/a3afd259-ba6b-4eb0-a1b6-05d01dddacd8,direct_role_detail,a3afd259-ba6b-4eb0-a1b6-05d01dddacd8,true,2026-07-24,true,fetched_success,false,deterministic_bilingual_translation_v1,probable_job,0.9,true,false,agent-hiring-map-role-display/1.0,agent-hiring-map-title-authenticity/1.0,probable,global_deferred_evidence_recovered,null,null,Unknown
agent-hiring-map-public/1.0,ROLE-025A0C3539F3CA34,ORG-EB25836B4C835455,TEAM-85CFCC15756F2A5E,PROD-85CFCC15756F2A5E,Lead AI Engineer (Agentic Systems),agent_role_recovered_from_official_title,[],hybrid,null,"enable teams to operate with parallel AI agents, autonomous code review, and AI-driven delivery pipelines",official_exact_role_alignment,https://jobs.lever.co/starcompliance/9132a7b5-1dac-4606-b92c-a06fd7e293a7,2026-07-24,2026-07-24,2026-07-24,current_probable,public_no_login,A,null,"[""AMC-0783""]",1,负责人 人工智能工程师 （智能体 系统）,Lead AI Engineer (Agentic Systems),地点待复核,Location pending review,pending_review,remote_or_hybrid,explicit_remote_or_hybrid,Lead AI Engineer (Agentic Systems),en,verified_official_title,public_ats_structured_field,https://jobs.lever.co/starcompliance/9132a7b5-1dac-4606-b92c-a06fd7e293a7,direct_role_detail,9132a7b5-1dac-4606-b92c-a06fd7e293a7,true,2026-07-24,true,fetched_success,false,deterministic_bilingual_translation_v1,probable_job,0.9,true,false,agent-hiring-map-role-display/1.0,agent-hiring-map-title-authenticity/1.0,probable,global_deferred_evidence_recovered,null,null,Other/Global
